Exportado em: 27/06/2018;;;;;;;;;Transparência Fly;
Camboriú - SC;;;;;;;;;;
Todas as entidades do município;;;;;;;;;;
Consulta de compras diretas;;;;;Última atualização: 27/06/2018 22:25:08;;;;;
Filtros utilizados para elaboração da consulta: Entidade: Todas | Ano: 2018 | Mês: Junho | Centro de custos: Todos | Tipo de compra: Todos;;;;;;;;;;
Compra;Data da compra;Objeto;Centro de custos;Fornecedor;;Valor (R$);Justificativa;Tipo de compra;;Anulação / Data
236 - 2018;25/06/2018;SERVIÇO PARA A MANUTENÇÃO DE EQUIPAMENTO LAVAJATO E ASPIRADOR  DE PÓ UTILIZADO NA LAVAÇÃO E LIMPEZA DAS VIATURAS DA 1ª CIA DE PM DE CAMBORIU.;SECRETARIA DE ADMINISTRAÇÃO;IEDA TEREZINHA FERREIRADE SOUZA VEQUI - ME.;;360,00;;Compra Comum;;
235 - 2018;25/06/2018;AQUISIÇÃO DE FITAS DE ISOLAMENTO DE ÁREA PARA O QUARTEL DO CORPO DE BOMBEIROS MILITAR DE CAMBORIU.;SECRETARIA DE ADMINISTRAÇÃO;RIC INDUSTRIA E COMERCIO DE ETIQUETAS EIRELI - EPP;;1.125,00;;Compra Comum;;
234 - 2018;22/06/2018;AQUISIÇÃO DE ASPIRADOR DE PÓ PARA LIMPEZA DAS VIATURAS DA 1ª  COMPANHIA DE POLICIA MILITAR DE CAMBORIU.;SECRETARIA DE ADMINISTRAÇÃO;IEDA TEREZINHA FERREIRADE SOUZA VEQUI - ME.;;1.540,00;;Compra Comum;;
233 - 2018;19/06/2018;CONTRATAÇÃO DE PRESTAÇÃO DE SERVIÇO DE TRANSPORTE EM GUINCHO PARA OS VEÍCULOS DISPONIBILIZADOS PELA RECEITA FEDERAL, ATRAVÉS DO PROCESSO ADMINISTRATIVO, Nº 0234 DE 21/05/2018, PROCESSO Nº 13355.720373/2017-89 EM ANEXO.;GABINETE DO PREFEITO;MAMA SERVICE TRANSPORTES LTDA;;7.000,00;;Compra Comum;;
232 - 2018;14/06/2018;CONTRATAÇÃO DE SERVIÇO DE HOSPEDAGEM PARA OS SERVIDORES EGINALDO CÂNDIDO E NIVALDO EVARISTO JUNIOR A RECEITA FEDERAL EM FOZ DO IGUAÇU PARA BUSCAR VEÍCULOS DOADO.;GABINETE DO PREFEITO;HOTEL DAN INN IGUACU LTDA;;155,00;;Compra Comum;;
231 - 2018;14/06/2018;PRESTAÇÃO DE SERVIÇO DE CAMISETAS EM MALHA ECOLÓGICA COM ESTAMPAS, PARA SEREM USADOS COMO UNIFORMES PELOS FUNCIONÁRIOS DA SECRETARIA DA AGRICULTURA NO MUNICÍPIO DE CAMBORIU.;FUNDO MUNICIPAL DE DESENVOLVIMENTO AGROP;DJ SOFT LTDA - ME;;1.148,00;;Compra Comum;;
230 - 2018;14/06/2018;AQUISIÇÃO DE MATERIAL DE PROCESSAMENTO DE DADOS PARA USO DO GABINETE MUNICIPAL.;GABINETE DO PREFEITO;WORLDNET CURSOS SUPRIMENTOS DE INFORMATICA LTDA ME;;170,00;;Compra Comum;;
229 - 2018;14/06/2018;CONTRATAÇÃO DE PRESTAÇÃO DE SERVIÇO DE CHAVEIRO PARA CONFECÇÃO DE COPIAS DE CHAVE E TROCA DE SEGREDO DO GABINETE .;GABINETE DO PREFEITO;HELIVELTON RODRIGUES DO VALES 08207307935;;490,00;;Compra Comum;;
228 - 2018;14/06/2018;COMPRA DE 2 GARRAFAS TÉRMICAS DE 1,8 LITROS E 24 UNIDADES DE PRATOS DE SOBREMESA, PARA USO DO GABINETE.;GABINETE DO PREFEITO;NELSON PEREIRA SATURNINO  ME - COMERCIAL PEREIRA;;422,90;;Compra Comum;;
227 - 2018;07/06/2018;AQUISIÇÃO DE FERRAMENTAS, MARTELO, COLHER DE PEDREIRO, PONTEIRA, ESPÁTULA E FERRO DE SOLDA PARA SEREM UTILIZADOS NOS SERVIÇOS DESENVOLVIDOS PELOS FUNCIONÁRIOS DA SECRETARIA NOS COLÉGIOS E ÁREAS PÚBLICAS DE CAMBORIU.;SECRETARIA DE ADMINISTRAÇÃO;NELSON PEREIRA SATURNINO  ME - COMERCIAL PEREIRA;;485,80;;Compra Comum;;
226 - 2018;30/05/2018;COMPRA DE XÍCARAS DE CHÁ PARA O GABINETE DE PREFEITO;GABINETE DO PREFEITO;NELSON PEREIRA SATURNINO  ME - COMERCIAL PEREIRA;;391,20;;Compra Comum;;
225 - 2018;04/06/2018;A PRESENTE REQUISIÇÃO TEM POR OBJETIVO A MANUTENÇÃO DE 02 CONDICIONADORES DE AR DA SECRETARIA DE PLANEJAMENTO URBANO.;SECRETARIA DE OBRAS E SERVIÇOS URBANOS;ALEX CLIMATIZAÇÃO;;500,00;;Compra Comum;;
